gStd,gStdDiff,gGem,gGemDiff,gMed,gMedDiff,eStd,eStdDiff,eGem,eGemDiff,eMed,eMedDiff,wStd,wStdDiff,wGem,wGemDiff,wMed,wMedDiff
79.3,-12.1,102.9,-17.5,83.0,-20.5,7.7,-9.1,118.6,-13.8,117.5,-13.0,0.7,-0.5,9.0,1.0,9.0,1.0
76.7,-14.7,102.2,-18.2,85.0,-18.5,12.4,-4.4,128.0,-4.4,130.0,-0.5,1.2,0.0,8.3,0.3,9.0,1.0
91.4,0.0,120.4,0.0,103.5,0.0,16.8,0.0,132.4,0.0,130.5,0.0,1.2,0.0,8.0,0.0,8.0,0.0
