vrbr_VrgJr,sch_HdgJr,vrsch_vrbr,vrsch_bedr,tar,maandbedr
1086,992,-94,-113,1.21,0
1357,1449,92,25,0.27,0
113,101,-12,-12,1.02,0
0,0,0,0,0,155
