g,g-1,g-2,e,e-1,e-2,w,w-1,w-2
248,259,248,148,138,157,9,10,9
182,169,201,125,115,134,7,8,8
159,142,173,136,128,143,9,10,9
107,87,117,122,119,126,8,10,8
56,28,59,126,121,132,8,9,8
40,29,21,118,110,131,8,9,9
36,23,21,123,117,135,8,9,9
31,17,17,113,109,118,7,8,7
42,30,20,116,118,109,7,9,6
90,79,77,120,111,123,8,9,8
175,173,173,126,120,126,8,9,8
213,198,243,129,114,134,8,8,8
