vrbr_VrgJr,sch_HdgJr,vrsch_vrbr,vrsch_bedr,tar,maandbedr
1156,1204,48,67,1.39,0
1488,1541,53,21,0.40,0
94,102,8,8,1.02,0
0,0,0,0,0,204
